grid_id,latitude,longitude,building_count,yellow_building_count,building_density,yellow_building_density,total_building_density,main_road_density,local_road_density,total_road_density,waterbody,water_percent,empty
20131,28.5486516,77.1206758,1,0,13.54,0.0,13.54,9.7,17.46,27.16,0,0.0,59.3
52331,28.7911956,77.2639719,4,3,0.18,0.0,0.18,0.0,1.51,1.51,0,0.0,98.31
26625,28.5971604,77.2598778,22,0,2.09,0.0,2.09,0.0,8.34,8.34,0,0.0,89.57
60831,28.855874,77.1247699,20,8,4.7,2.91,7.61,20.46,7.82,28.28,1,5.89,58.22
2513,28.4157015,77.1083932,44,5,6.8,0.0,6.8,0.0,9.43,9.43,1,5.86,77.91
11404,28.4821766,77.2823957,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,19.08,80.92
4436,28.4300745,77.1472879,5,4,1.22,0.0,1.22,0.04,8.2,8.24,0,0.0,90.54
60984,28.8576706,76.9507674,7,1,0.25,0.0,0.25,0.0,0.0,0.0,0,0.0,99.75
38273,28.6851949,77.2312185,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,84.6,15.400000000000006
33754,28.6510591,77.2373598,8,9,1.2,5.01,6.21,8.32,8.84,17.16,0,0.0,76.63
24439,28.5809908,77.1698059,30,11,11.79,9.97,21.76,0.33,13.39,13.72,0,0.0,64.52000000000001
15958,28.518109,76.8606955,0,0,0.16,0.0,0.16,8.64,9.84,18.48,1,1.24,80.12
1684,28.4103117,76.872978,0,6,0.0,0.0,0.0,0.57,8.92,9.49,0,0.0,90.51
33112,28.6474658,76.8975431,0,1,0.0,0.0,0.0,0.0,1.07,1.07,0,0.0,98.93
25024,28.5863807,76.9057315,0,2,0.0,0.0,0.0,0.0,1.49,1.49,0,0.0,98.51
18572,28.5378719,76.8525072,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
46790,28.7498733,77.126817,46,0,14.48,0.0,14.48,0.13,8.57,8.7,0,0.0,76.82
24655,28.5827874,77.1247699,11,0,3.72,0.0,3.72,6.36,9.71,16.07,0,0.0,80.21000000000001
16231,28.5199056,76.9323436,0,0,0.0,0.0,0.0,0.0,1.06,1.06,0,0.0,98.94
21915,28.5630246,76.8750251,0,2,0.0,0.0,0.0,0.0,0.86,0.86,0,0.0,99.14
15021,28.5109225,76.8914018,5,0,1.98,0.0,1.98,0.49,8.23,8.72,1,0.92,88.38
42516,28.7175341,77.1472879,0,0,0.0,0.0,0.0,0.04,7.11,7.15,0,0.0,92.85
28524,28.6115334,77.2496423,19,0,1.26,0.0,1.26,2.73,2.81,5.54,1,1.04,92.16
15148,28.5109225,77.1513821,13,0,5.42,0.0,5.42,0.0,6.61,6.61,0,0.0,87.97
13546,28.4983462,77.2823957,46,10,13.3,2.11,15.41,0.17,8.68,8.85,0,0.0,75.74000000000001
5148,28.4354644,77.1431937,82,1,25.9,0.29,26.19,0.15,11.46,11.61,0,0.0,62.2
17745,28.5306854,77.1083932,24,0,21.3,0.0,21.3,0.21,10.29,10.5,0,0.0,68.2
33339,28.6492624,76.8750251,0,4,0.0,0.0,0.0,0.33,6.2,6.53,0,0.0,93.47
26602,28.5971604,77.2127947,44,3,24.31,0.0,24.31,0.54,5.8,6.34,0,0.0,69.35
16764,28.5234989,77.0490277,13,2,2.44,0.23,2.67,1.86,4.57,6.43,0,0.0,90.9
21260,28.5576347,76.9958034,8,3,2.02,0.0,2.02,0.0,4.75,4.75,0,0.0,93.23
60403,28.8522808,77.2230302,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0
56122,28.8199416,77.2291714,0,0,0.0,0.0,0.0,2.06,6.46,8.52,0,0.0,91.48
51084,28.7822125,77.1472879,14,2,4.85,0.0,4.85,0.0,7.2,7.2,0,0.0,87.95
21658,28.5594313,77.3233375,2,5,0.73,0.0,0.73,0.24,3.26,3.5,0,0.0,95.77
