grid_id,latitude,longitude,building_count,yellow_building_count,building_density,yellow_building_density,total_building_density,main_road_density,local_road_density,total_road_density,waterbody,water_percent,empty,building_density_norm,yellow_building_density_norm,total_building_density_norm,local_road_density_norm,total_road_density_norm,empty_norm,water_percent_norm,grid_score_raw,grid_score,grid_segment,grid_score_pca,grid_score_entropy,kmeans_cluster,grid_segment_kmeans
4436,28.4300745,77.1472879,5,4,1.22,0.0,1.22,0.04,8.2,8.24,0,0.0,90.54,0.024119490327491278,0.0,0.020242243238758922,0.40511832419346877,0.29564250219758537,0.8741544335286644,0.0,-0.003811472708218147,19.13,bad,14.75,3.17,0,bad
60984,28.8576706,76.9507674,7,1,0.25,0.0,0.25,0.0,0.0,0.0,0,0.0,99.75,0.004942518509731819,0.0,0.004148000663680107,0.0,0.0,0.9966742714991719,0.0,-0.09801699745611622,9.72,bad,0.22,0.07,0,bad
38273,28.6851949,77.2312185,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,84.6,15.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,9.52,bad,12.24,100.0,2,neutral
33754,28.6510591,77.2373598,8,9,1.2,5.01,6.21,8.32,8.84,17.16,0,0.0,76.63,0.023724088846712732,0.2881794650560829,0.10303633648581385,0.4367373153500322,0.6156826866153597,0.6891108997425885,0.0,0.13007213703609838,32.49,neutral,28.24,6.62,0,bad
24439,28.5809908,77.1698059,30,11,11.79,9.97,21.76,0.33,13.39,13.72,0,0.0,64.52000000000001,0.23308917291895256,0.5734828875467359,0.36104197776671654,0.6615285806037252,0.4922591177367562,0.5280126111624752,0.0,0.33746233913157964,53.2,neutral,44.23,12.58,1,good
15958,28.518109,76.8606955,0,0,0.16,0.0,0.16,8.64,9.84,18.48,1,1.24,80.12,0.0031632118462283643,0.0,0.0026547204247552685,0.48614198903216255,0.6630428932780797,0.735538069614149,1.0,-0.06642408893865394,12.88,bad,23.68,5.89,0,bad
1684,28.4103117,76.872978,0,6,0.0,0.0,0.0,0.57,8.92,9.49,0,0.0,90.51,0.0,0.0,0.0,0.4406896892446026,0.3404911827494035,0.873755346108565,0.0,-0.004247522086695932,19.08,bad,15.32,3.13,0,bad
33112,28.6474658,76.8975431,0,1,0.0,0.0,0.0,0.0,1.07,1.07,0,0.0,98.93,0.0,0.0,0.0,0.052863000839879465,0.03839047055235635,0.9857658820164558,0.0,-0.08872761454804584,10.65,bad,1.78,0.37,0,bad
25024,28.5863807,76.9057315,0,2,0.0,0.0,0.0,0.0,1.49,1.49,0,0.0,98.51,0.0,0.0,0.0,0.0736129637863742,0.05345962721776725,0.9801786581350643,0.0,-0.08430293988466195,11.09,bad,2.48,0.51,0,bad
18572,28.5378719,76.8525072,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,9.52,bad,0.0,0.0,0,bad
46790,28.7498733,77.126817,46,0,14.48,0.0,14.48,0.13,8.57,8.7,0,0.0,76.82,0.28627067208366697,0.0,0.2402521984403518,0.423398053455857,0.3121468166406544,0.6916384534032178,0.0,0.10554609137504141,30.04,neutral,26.89,7.16,0,bad
24655,28.5827874,77.1247699,11,0,3.72,0.0,3.72,6.36,9.71,16.07,0,0.0,80.21000000000001,0.07354467542480947,0.0,0.06172224987555999,0.47971938145348564,0.5765746371741743,0.7367353318744472,0.0,0.051671499733045204,24.67,bad,24.52,5.15,0,bad
16231,28.5199056,76.9323436,0,0,0.0,0.0,0.0,0.0,1.06,1.06,0,0.0,98.94,0.0,0.0,0.0,0.05236895410305816,0.038031681107941806,0.9858989111564888,0.0,-0.08883296394479306,10.64,bad,1.77,0.36,0,bad
21915,28.5630246,76.8750251,0,2,0.0,0.0,0.0,0.0,0.86,0.86,0,0.0,99.14,0.0,0.0,0.0,0.04248801936663209,0.030855892219650898,0.9885594939571511,0.0,-0.09093995187973777,10.43,bad,1.43,0.3,0,bad
